Weekly Infectious Disease Bulletin - Year 2019,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
1,2018-12-30 00:00:00,2019-01-05 00:00:00,0,0,2,5,1,0,0,0,205,2,1,1,52,0,0,5,0,0,0,1,0,0,5,0,0,0,0,1,0,0,43,0,0,0,0,0,0,0,3477.5,122.5,631,15.75
2,2019-01-06 00:00:00,2019-01-12 00:00:00,0,2,6,2,0,0,0,0,245,0,0,0,79,0,1,13,0,0,0,1,0,0,5,1,0,1,0,2,2,0,28,0,0,0,0,0,0,1,3290.909090909091,99.81818181818181,619.8181818181819,14.545454545454545
3,2019-01-13 00:00:00,2019-01-19 00:00:00,0,0,2,1,0,0,0,0,207,8,3,2,69,0,5,7,0,0,0,0,0,0,10,0,0,2,0,0,3,0,55,0,2,0,0,0,0,0,3390.5454545454545,99.45454545454545,632.9090909090909,12.909090909090908
4,2019-01-20 00:00:00,2019-01-26 00:00:00,0,2,2,1,0,0,0,0,221,1,0,1,67,0,2,9,0,0,0,2,0,0,7,1,0,1,1,1,2,0,38,0,0,0,0,0,0,1,3407.818181818182,95.63636363636364,600.5454545454545,14.909090909090908
5,2019-01-27 00:00:00,2019-02-02 00:00:00,0,0,1,1,0,0,0,0,179,3,1,0,59,0,3,9,0,0,0,0,0,0,6,0,0,1,0,3,6,0,34,0,0,0,0,0,0,0,3428.181818181818,95.0909090909091,589.8181818181819,10.727272727272727
6,2019-02-03 00:00:00,2019-02-09 00:00:00,0,0,1,3,0,0,0,0,135,3,0,0,48,0,3,6,0,0,0,1,0,1,6,0,0,0,0,1,4,1,30,0,1,0,0,0,0,0,3658.3333333333335,107,754.6666666666666,18.333333333333332
7,2019-02-10 00:00:00,2019-02-16 00:00:00,0,0,1,0,0,0,0,0,232,3,2,0,68,0,4,6,0,0,0,1,0,0,20,0,0,2,1,5,1,0,40,0,0,0,0,0,0,0,3237.2727272727275,97.0909090909091,659.0909090909091,12.363636363636363
8,2019-02-17 00:00:00,2019-02-23 00:00:00,0,0,0,2,2,0,0,0,181,1,0,1,89,0,7,10,0,0,0,1,0,0,9,0,1,1,0,0,4,0,25,0,0,0,0,0,0,0,3063.2727272727275,94.18181818181819,622.3636363636364,14.181818181818182
9,2019-02-24 00:00:00,2019-03-02 00:00:00,0,0,2,1,2,0,0,0,156,1,0,2,69,0,7,6,0,0,0,0,0,0,10,2,0,0,0,4,2,0,50,0,0,0,0,0,0,0,2920.3636363636365,89.63636363636364,589.2727272727273,12.909090909090908
10,2019-03-03 00:00:00,2019-03-09 00:00:00,1,0,0,0,1,0,0,0,133,1,0,0,73,0,3,6,0,0,0,1,0,0,8,2,0,0,0,2,3,0,41,0,1,0,0,0,0,0,2949.4545454545455,107.27272727272727,593.2727272727273,14
