Weekly Infectious Disease Bulletin - Year 2018,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Polyclinic attendances - Average Daily numbers,Unnamed: 42,Unnamed: 43,Unnamed: 44
10,2018-03-04 00:00:00,2018-03-10 00:00:00,0,0,0,1,0,0,0,0,37,0,0,0,1105,0,2,5,0,0,0,2,0,0,4,0,0,0,0,0,4,0,32,0,0,0,0,0,0,0,3011.6363636363635,103.63636363636364,550,20.90909090909091
11,2018-03-11 00:00:00,2018-03-17 00:00:00,0,0,0,2,1,0,0,0,37,2,2,0,946,0,1,11,0,0,0,1,0,0,4,1,1,0,1,0,3,0,32,0,0,0,0,0,0,1,2693.818181818182,94.9090909090909,498.3636363636364,17.272727272727273
12,2018-03-18 00:00:00,2018-03-24 00:00:00,0,0,0,2,1,0,0,0,36,0,1,0,983,0,0,11,0,0,0,0,0,0,12,0,1,2,0,6,2,0,30,0,0,0,0,0,0,0,2806.3636363636365,112,552.1818181818181,15.272727272727273
13,2018-03-25 00:00:00,2018-03-31 00:00:00,0,0,0,1,1,0,0,0,24,0,0,0,843,0,1,10,0,0,0,2,0,0,11,1,1,0,0,1,2,0,22,0,0,0,0,0,0,0,2796.8888888888887,109.11111111111111,532.2222222222222,20.88888888888889
14,2018-04-01 00:00:00,2018-04-07 00:00:00,0,0,3,1,3,0,0,0,38,0,0,0,1010,0,2,12,0,0,0,0,0,1,10,1,1,0,0,5,0,0,32,0,0,0,0,0,0,1,2968.3636363636365,104,564.7272727272727,19.09090909090909
15,2018-04-08 00:00:00,2018-04-14 00:00:00,0,0,0,2,2,0,0,0,38,0,1,0,985,0,2,10,0,0,0,1,0,0,13,0,2,1,0,5,1,0,31,0,0,0,0,0,0,0,2958.909090909091,100.54545454545455,600.5454545454545,16.363636363636363
16,2018-04-15 00:00:00,2018-04-21 00:00:00,0,1,1,1,2,0,0,0,56,0,1,0,996,0,1,11,0,0,0,1,0,0,4,2,0,0,1,4,1,0,33,0,0,0,0,0,0,0,2984.3636363636365,91.0909090909091,575.0909090909091,19.272727272727273
17,2018-04-22 00:00:00,2018-04-28 00:00:00,0,0,0,0,3,0,0,0,55,1,1,0,1066,0,3,8,0,0,0,2,0,0,5,0,1,0,0,3,2,1,27,0,0,0,0,0,0,0,3044,89.0909090909091,568,14.727272727272727
18,2018-04-29 00:00:00,2018-05-05 00:00:00,0,0,0,1,0,0,0,0,74,3,1,0,971,0,0,16,1,0,0,1,0,0,6,0,0,3,0,2,4,0,41,0,0,0,0,0,0,1,3249.3333333333335,99.33333333333333,574.2222222222222,22.22222222222222
19,2018-05-06 00:00:00,2018-05-12 00:00:00,0,0,1,2,1,0,0,0,62,0,1,0,1159,0,0,10,0,0,0,1,0,2,9,0,3,1,0,5,2,0,36,0,0,0,0,0,0,0,3130.7272727272725,90.18181818181819,575.0909090909091,12.909090909090908
20,2018-05-13 00:00:00,2018-05-19 00:00:00,0,0,0,3,1,0,0,0,63,1,1,1,1022,0,1,16,0,0,0,0,0,0,6,0,2,0,0,1,2,1,40,0,0,0,0,0,0,0,3074.7272727272725,90.36363636363636,597.8181818181819,13.272727272727273
21,2018-05-20 00:00:00,2018-05-26 00:00:00,0,1,0,0,3,0,0,0,64,1,0,0,1086,0,3,15,0,0,0,1,0,3,7,0,1,0,0,3,4,0,40,0,0,0,0,0,0,1,3089.2727272727275,95.0909090909091,608.9090909090909,14.181818181818182
22,2018-05-27 00:00:00,2018-06-02 00:00:00,0,0,0,3,0,0,0,0,52,2,0,1,849,0,0,10,0,0,0,0,0,0,9,0,1,0,0,1,4,0,47,0,0,0,0,0,0,0,3022.8888888888887,89.33333333333333,562.8888888888889,12.222222222222221
23,2018-06-03 00:00:00,2018-06-09 00:00:00,0,0,0,3,0,0,0,0,75,0,1,1,873,0,1,9,0,0,0,2,0,1,3,0,1,1,0,3,1,1,47,0,0,0,0,0,0,0,2700.909090909091,88.72727272727273,524.1818181818181,10.909090909090908
24,2018-06-10 00:00:00,2018-06-16 00:00:00,0,0,1,3,1,0,0,0,55,0,0,0,735,0,0,8,0,0,0,0,0,0,10,0,2,0,0,4,5,0,31,0,0,0,0,0,0,0,2402.8888888888887,74,466,15.333333333333334
25,2018-06-17 00:00:00,2018-06-23 00:00:00,0,0,0,1,1,0,0,0,59,2,1,0,716,0,0,9,0,0,0,3,0,0,8,0,4,0,0,1,3,0,39,0,0,0,0,0,0,2,2596.909090909091,80.54545454545455,533.8181818181819,10.727272727272727
26,2018-06-24 00:00:00,2018-06-30 00:00:00,0,0,1,0,1,0,0,0,75,1,1,0,889,0,0,7,0,0,0,0,0,0,8,0,1,1,0,1,1,0,30,0,0,0,0,0,0,0,2986.909090909091,86.9090909090909,603.0909090909091,16.363636363636363
27,2018-07-01 00:00:00,2018-07-07 00:00:00,0,1,1,7,2,0,0,0,56,2,1,0,1071,0,0,12,0,0,0,1,0,0,8,0,0,0,1,2,4,0,42,0,0,0,0,0,0,0,3172.5454545454545,94,592,15.454545454545455
28,2018-07-08 00:00:00,2018-07-14 00:00:00,0,0,1,1,2,0,0,0,44,0,2,1,1140,0,0,9,1,0,0,3,0,0,9,1,1,1,0,1,4,0,22,0,0,0,0,0,0,0,3384,93.81818181818181,648.7272727272727,18.90909090909091
29,2018-07-15 00:00:00,2018-07-21 00:00:00,0,1,2,1,0,0,0,0,41,0,0,0,1136,0,1,12,0,0,0,0,0,0,7,1,0,0,0,4,4,0,22,0,0,0,0,0,0,0,3202,85.27272727272727,634,16.181818181818183
30,2018-07-22 00:00:00,2018-07-28 00:00:00,0,0,1,1,0,0,0,0,56,0,0,1,1177,0,0,8,0,0,0,0,0,2,7,0,0,0,1,3,4,0,37,0,0,0,0,0,0,0,3032.5454545454545,88.9090909090909,623.8181818181819,15.454545454545455
31,2018-07-29 00:00:00,2018-08-04 00:00:00,0,0,0,0,1,0,0,0,50,1,0,0,1249,0,1,12,2,0,0,1,0,1,13,0,0,1,0,1,0,0,32,0,0,0,0,0,0,0,3005.6363636363635,81.0909090909091,647.4545454545455,16.363636363636363
32,2018-08-05 00:00:00,2018-08-11 00:00:00,0,1,2,1,0,0,0,0,59,0,0,0,1050,0,0,7,0,0,0,0,0,0,11,0,2,0,0,1,0,0,30,0,0,0,0,0,0,0,2890.222222222222,88.44444444444444,610.6666666666666,16.444444444444443
33,2018-08-12 00:00:00,2018-08-18 00:00:00,0,1,2,1,1,0,0,0,42,1,1,0,1038,0,0,7,2,0,0,2,0,0,12,0,0,0,0,1,2,0,23,0,0,0,0,0,0,0,2872.909090909091,84.9090909090909,607.4545454545455,17.272727272727273
34,2018-08-19 00:00:00,2018-08-25 00:00:00,1,1,2,4,0,0,0,0,66,2,1,0,796,0,0,7,1,0,0,1,0,0,7,0,0,1,0,3,3,0,31,0,0,0,0,0,0,2,2816,94.66666666666667,648.6666666666666,14.222222222222221
35,2018-08-26 00:00:00,2018-09-01 00:00:00,0,0,1,1,0,0,0,0,75,0,0,0,684,0,2,9,1,0,0,0,0,1,9,0,0,1,0,0,4,0,23,0,0,0,0,0,0,0,2518.5454545454545,75.63636363636364,565.8181818181819,10.363636363636363
36,2018-09-02 00:00:00,2018-09-08 00:00:00,0,0,2,1,3,0,0,0,75,1,0,0,474,0,0,4,0,0,0,0,0,1,4,0,1,1,0,1,3,0,38,0,0,0,0,0,0,0,2421.818181818182,67.63636363636364,498.90909090909093,12.545454545454545
37,2018-09-09 00:00:00,2018-09-15 00:00:00,0,0,0,2,2,0,0,0,49,0,0,0,594,0,0,10,1,0,0,0,0,0,13,0,1,0,0,0,3,0,30,0,0,0,0,0,0,0,2893.2727272727275,82.18181818181819,593.0909090909091,15.636363636363637
38,2018-09-16 00:00:00,2018-09-22 00:00:00,0,0,0,0,1,0,0,0,63,0,1,0,568,0,0,8,0,0,0,1,0,0,12,0,2,1,0,1,3,0,34,0,0,0,0,0,0,0,2844.7272727272725,87.45454545454545,606.1818181818181,13.090909090909092
39,2018-09-23 00:00:00,2018-09-29 00:00:00,0,1,1,1,0,0,0,0,40,0,2,0,622,0,0,7,1,0,0,1,0,2,11,2,0,0,0,2,2,0,28,0,0,0,0,0,0,0,2767.2727272727275,78.9090909090909,570.7272727272727,15.454545454545455
40,2018-09-30 00:00:00,2018-10-06 00:00:00,0,0,0,2,0,0,0,0,51,0,1,0,586,0,0,9,0,0,0,2,0,0,8,0,0,3,0,2,2,1,30,0,0,0,0,0,0,1,2659.090909090909,82.72727272727273,577.6363636363636,14.727272727272727
41,2018-10-07 00:00:00,2018-10-13 00:00:00,0,0,2,0,1,0,0,0,51,0,1,0,547,0,0,8,0,0,0,1,0,0,8,0,1,1,1,4,3,0,36,0,0,0,0,0,0,0,2656.3636363636365,76.18181818181819,577.0909090909091,14.545454545454545
42,2018-10-14 00:00:00,2018-10-20 00:00:00,0,0,2,0,0,0,0,0,60,2,1,0,543,0,1,10,0,0,0,4,0,0,8,0,1,1,0,1,3,0,36,0,0,0,0,0,0,1,2904,81.45454545454545,619.8181818181819,12.181818181818182
43,2018-10-21 00:00:00,2018-10-27 00:00:00,0,0,0,1,3,0,0,0,78,0,0,2,561,0,0,5,0,0,0,1,0,0,10,1,1,2,0,2,3,0,40,0,0,0,0,0,0,1,2947.4545454545455,78.54545454545455,615.6363636363636,14
44,2018-10-28 00:00:00,2018-11-03 00:00:00,0,0,3,0,0,0,0,0,75,0,2,2,565,0,0,6,0,0,0,0,0,0,6,1,1,2,0,0,1,0,44,0,0,0,0,0,0,0,3016.181818181818,82,583.8181818181819,14.545454545454545
45,2018-11-04 00:00:00,2018-11-10 00:00:00,0,0,0,1,1,0,0,0,71,0,0,0,528,0,1,11,0,0,0,1,0,2,11,0,2,2,1,0,3,0,34,0,0,0,0,0,0,0,3320.6666666666665,97.33333333333333,614.6666666666666,18.666666666666668
46,2018-11-11 00:00:00,2018-11-17 00:00:00,0,0,1,0,1,0,0,0,78,0,1,0,587,0,0,2,0,0,0,2,0,2,12,0,0,1,0,1,4,0,37,0,0,0,0,0,0,1,3271.818181818182,84,592.5454545454545,12.181818181818182
47,2018-11-18 00:00:00,2018-11-24 00:00:00,0,1,1,0,0,0,0,0,97,0,0,0,607,0,2,10,0,0,0,0,0,0,9,0,1,0,0,2,1,0,31,0,0,0,0,0,0,1,3385.818181818182,93.0909090909091,567.6363636363636,14.363636363636363
48,2018-11-25 00:00:00,2018-12-01 00:00:00,0,0,2,0,1,0,0,0,109,0,0,4,533,0,1,7,0,0,0,1,0,1,11,0,1,1,0,3,1,0,21,0,0,0,0,0,0,0,3294.7272727272725,90.54545454545455,543.2727272727273,11.818181818181818
49,2018-12-02 00:00:00,2018-12-08 00:00:00,0,0,0,2,0,0,0,0,114,1,1,1,500,0,0,3,0,0,0,1,0,0,7,0,0,2,0,2,3,0,31,0,0,0,0,0,0,0,3138.3636363636365,100.72727272727273,543.2727272727273,10
50,2018-12-09 00:00:00,2018-12-15 00:00:00,0,1,0,6,0,0,0,0,107,1,0,0,461,0,0,10,0,0,0,1,0,0,9,1,0,1,1,3,2,1,27,0,0,0,0,0,0,0,3035.818181818182,81.45454545454545,509.27272727272725,6.545454545454546
51,2018-12-16 00:00:00,2018-12-22 00:00:00,0,0,1,6,0,0,0,0,127,1,2,0,486,0,0,4,0,0,0,1,0,0,15,0,1,0,0,1,1,0,33,0,0,0,0,0,0,0,2914.7272727272725,85.45454545454545,502.3636363636364,9.636363636363637
52,2018-12-23 00:00:00,2018-12-29 00:00:00,0,1,0,1,1,0,0,0,160,0,2,0,439,0,0,9,0,0,0,1,0,1,5,0,2,0,0,2,3,0,24,0,0,0,0,0,0,1,3420,106.75,590.25,15.5
