Weekly Infectious Disease Bulletin - Year 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Polyclinic attendances - Average Daily numbers,Unnamed: 42,Unnamed: 43,Unnamed: 44
Epidemiology Wk,Start,End,Cholera,Paratyphoid ,Typhoid ,Acute Viral Hepatitis A,Acute Viral Hepatitis E,Poliomyelitis,Plague,Yellow Fever,Dengue ,DHF,Malaria,Chikungunya,HFMD,Diphtheria,Measles,Mumps  ,Rubella,SARS,Nipah,Acute Viral hepatitis B,Encephalitis,Legionellosis,Campylobacter enteritis,Acute Viral hepatitis C,Leptospirosis,Melioidosis,Meningococcal Infection,Pertussis,Pneumococcal Disease (invasive),Haemophilus influenzae type b,Salmonellosis(non-enteric fevers),Avian Influenza,Zika,Ebola Virus Disease,Japanese Encephalitis,Tetanus,Botulism,Murine Typhus,Acute Upper Respiratory Tract infections,Acute Conjunctivitis,Acute Diarrhoea,Chickenpox
19,2017-05-07 00:00:00,2017-05-13 00:00:00,0,1,0,1,0,0,0,0,48,0,0,0,732,0,0,8,1,0,0,1,0,1,9,0,1,2,0,0,4,0,38,0,1,0,0,0,0,0,3644.6666666666665,102.88888888888889,595.5555555555555,19.11111111111111
20,2017-05-14 00:00:00,2017-05-20 00:00:00,0,0,0,2,2,0,0,0,48,2,0,1,793,0,2,7,0,0,0,1,0,1,10,0,1,1,0,0,3,0,40,0,1,0,0,0,0,0,3500.3636363636365,88,565.2727272727273,14.727272727272727
21,2017-05-21 00:00:00,2017-05-27 00:00:00,0,1,0,1,0,0,0,0,50,0,2,0,789,0,2,10,1,0,0,0,0,0,9,0,2,0,0,0,6,0,44,0,4,0,0,0,0,0,3439.818181818182,84,548,14.363636363636363
22,2017-05-28 00:00:00,2017-06-03 00:00:00,1,0,2,3,1,0,0,0,66,0,0,0,713,0,0,8,0,0,0,0,0,1,7,0,3,2,0,1,10,1,65,0,3,0,0,0,0,0,3241.4545454545455,84.18181818181819,484.3636363636364,9.636363636363637
23,2017-06-04 00:00:00,2017-06-10 00:00:00,0,0,0,1,1,0,0,0,62,0,0,2,607,0,2,9,0,0,0,0,0,0,9,1,2,1,0,3,3,0,36,0,1,0,0,0,0,0,2842,86.72727272727273,467.6363636363636,13.818181818181818
24,2017-06-11 00:00:00,2017-06-17 00:00:00,0,0,2,1,0,0,0,0,79,1,0,1,520,0,3,8,0,0,0,1,0,0,4,0,1,0,0,0,3,0,49,0,1,0,0,0,0,0,2476,82.72727272727273,464.1818181818182,10.363636363636363
25,2017-06-18 00:00:00,2017-06-24 00:00:00,0,1,1,0,2,0,0,0,73,0,1,2,554,0,1,10,0,0,0,0,0,1,5,0,0,0,0,0,2,0,33,0,2,0,0,0,0,0,2374,82,454.54545454545456,11.636363636363637
26,2017-06-25 00:00:00,2017-07-01 00:00:00,0,0,1,2,1,0,0,0,75,0,1,2,436,0,2,12,1,0,0,1,0,1,13,1,0,4,0,1,2,0,28,0,1,0,0,0,0,0,2793.3333333333335,84,616.6666666666666,18.88888888888889
27,2017-07-02 00:00:00,2017-07-08 00:00:00,0,1,1,0,2,0,0,0,63,0,3,1,572,0,1,9,0,0,0,1,0,1,16,0,2,1,0,1,4,0,41,0,0,0,0,0,0,0,2834.7272727272725,77.0909090909091,529.0909090909091,12.545454545454545
28,2017-07-09 00:00:00,2017-07-15 00:00:00,0,1,1,1,3,0,0,0,53,0,0,1,661,0,0,6,0,0,0,2,0,0,8,1,0,0,0,2,4,0,31,0,1,0,0,0,0,0,3190.7272727272725,84.9090909090909,616.3636363636364,17.272727272727273
29,2017-07-16 00:00:00,2017-07-22 00:00:00,0,1,1,2,0,0,0,0,51,0,0,0,692,0,1,9,0,0,0,1,0,0,9,2,1,1,0,1,2,0,30,0,0,0,0,0,0,0,3355.4545454545455,95.81818181818181,612,13.636363636363637
30,2017-07-23 00:00:00,2017-07-29 00:00:00,0,1,0,2,4,0,0,0,66,1,1,0,803,0,0,15,0,0,0,0,0,0,15,0,1,0,0,1,8,0,45,0,6,0,0,0,0,0,3132.3636363636365,88.36363636363636,604.5454545454545,14.363636363636363
